id,title,content
1,Retry Behavior,"DevFlow retries failed pipeline steps up to 3 times by default, with exponential backoff starting at 10 seconds. Retries are NOT idempotent-safe by default — if a step has side effects like sending a notification or writing to a database, it will re-run those side effects on every retry. To make a step safe to retry, wrap it with the `idempotent: true` flag in your devflow.yaml, which causes DevFlow to record a completion token and skip the step body if it already succeeded."
2,Pipeline Timeouts,"Each pipeline step has a default timeout of 15 minutes. This can be overridden per-step using the `timeout` field (in seconds) in devflow.yaml. If a step exceeds its timeout, DevFlow marks it as failed and triggers the retry policy, not a hard pipeline failure, unless retries are also exhausted."
3,Secrets Management,"Secrets are injected as environment variables at runtime and are never written to disk or logs. DevFlow automatically redacts any string matching a registered secret value from step output logs. Secrets must be registered in the DevFlow dashboard under Settings > Secrets before they can be referenced in devflow.yaml using the `${{ secrets.NAME }}` syntax."
4,Parallel Steps,"Steps in the same `stage` block run in parallel by default. To force sequential execution within a stage, add `sequential: true` to the stage definition. Parallel steps that fail do not automatically cancel their sibling steps unless `fail_fast: true` is set at the pipeline level."
5,Caching,"DevFlow caches dependencies (e.g. node_modules, pip packages) between runs using a hash of your lockfile as the cache key. Cache entries expire after 7 days of inactivity. If a build behaves unexpectedly after a dependency change, clearing the cache manually via `devflow cache clear` often resolves it, since stale caches are a common source of confusing build failures."
6,Webhook Triggers,"Pipelines can be triggered by GitHub webhooks (push, pull_request, release) or by a manual API call to the /trigger endpoint. Webhook payloads are verified using HMAC-SHA256 against your configured webhook secret; DevFlow rejects any webhook with an invalid or missing signature."
7,Environment Promotion,"DevFlow supports promoting a build artifact from staging to production without rebuilding, using `devflow promote <build_id> --to production`. This requires the artifact to still exist in the build cache, which is retained for 30 days. Promotions require manual approval by default, configurable under Settings > Environments."
8,Notification Channels,"DevFlow can send pipeline status notifications to Slack, email, or a custom webhook. Notification rules are configured per-pipeline and can filter by status (success, failure, cancelled). By default only failure notifications are enabled to avoid notification fatigue on high-frequency pipelines."
9,Matrix Builds,"Matrix builds let you run the same step across multiple parameter combinations, e.g. multiple Node versions or OS targets, defined using a `matrix` block. Each matrix combination runs as an independent parallel job, and a single failing combination does not fail the others unless `fail_fast: true` is set."
10,Rollback Behavior,"If a deployment step fails after partially applying changes, DevFlow does not automatically roll back unless a `rollback` step is explicitly defined in devflow.yaml. Without a rollback step defined, a failed deployment can leave the environment in a partially updated state, which is a common source of production incidents."
